Especie,Num Boleto,Ticker,Tipo,Concertacion,Liquidacion,Cantidad,Precio,Bruto,Costos Mercado,Arancel,Neto,Moneda
BONO REP. ARGENTINA USD STEP UP 2030,6302524,AL30,COMPRA,2025-07-21,2025-07-21,13548,0.588,7966.22,256.11,40971.96,7998.28,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,6302525,AL30,VENTA,2025-07-21,2025-07-21,13548,763.7,10346607.6,258.67,41386.43,10304962.5,Pesos
"ON YPF S.A. REGS 2,5% V.30/06/2029 (DTC)",6228569,YMCIO,VENTA,2025-07-17,2025-07-18,6000,1.038,6228,196.34,31411.51,6202.93,US Dollar (Cable)
ON YPF CLASE 39 VTO 22/07/30 U$S CG,6255533,YM39O,Licitación MAE,2025-07-17,2025-07-22,6200,1,6200,0,0,6200,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,6107753,AL30,COMPRA,2025-07-15,2025-07-15,2088,0.5961,1244.66,39.83,6374.4,1249.67,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,6107754,AL30,VENTA,2025-07-15,2025-07-15,2088,770.6,1609012.8,40.23,6436.05,1602536.52,Pesos
GRAYSCALE BITCOIN TR B (GBTC),5939207,GBTC.E,COMPRAEXT,2025-07-08,2025-07-09,93,85.94,7992.42,0,48483.25,8040.78,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,5308308,AL30,COMPRA,2025-06-18,2025-06-18,7475,0.6744,5041.14,146.19,23385.6,5061.43,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,5308309,AL30,VENTA,2025-06-18,2025-06-18,1280,780.8,999424,24.99,3997.7,995401.31,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4861844,AL30,VENTA,2025-06-02,2025-06-02,3956,808.7,3199217.2,79.98,12796.87,3186340.35,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4413435,AL30,VENTA,2025-05-15,2025-05-15,1292,773.6,999491.2,24.99,3997.96,995468.25,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,4273685,AL30,VENTA,2025-05-12,2025-05-12,1921,780.3,1498956.3,37.47,5995.83,1492923,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,3636704,AL30,VENTA,2025-04-16,2025-04-16,1879,797.5,1498502.5,37.46,5994.01,1492471.03,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,2917083,AL30,VENTA,2025-03-27,2025-03-27,1798,834.4,1500251.2,37.51,6001,1494212.69,Pesos
GRAYSCALE BITCOIN TR B (GBTC),2377202,GBTC.E,COMPRAEXT,2025-03-10,2025-03-11,67,61.93,4149.31,0,16105,4174.41,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,2359329,AL30,VENTA,2025-03-10,2025-03-10,1227,802.3489813,984482.2,24.61,3937.93,980519.66,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,2315773,AL30,COMPRA,2025-03-07,2025-03-07,5858,0.6571,3849.29,102.44,16393.3,3864.79,US Dollar (Cable)
TESLA MOTORS INC. (TSLA),2098212,TSLA.E,COMPRAEXT,2025-02-27,2025-02-28,14,286.37,4009.18,0,15109.03,4033.43,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,2006013,AL30,VENTA,2025-02-25,2025-02-25,2155,779.3,1679391.5,41.98,6717.57,1672631.95,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,1234569,AL30,VENTA,2025-02-04,2025-02-04,3823,774.940361,2962597,74.06,11850.39,2950672.55,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,488940,AL30,COMPRA,2025-01-14,2025-01-14,273,0.6834,186.57,4.85,780,187.32,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,430864,AL30,VENTA,2025-01-13,2025-01-13,1872,791.3,1481313.6,37.03,5925.25,1475351.32,Pesos
